Iteration	car	motorcycle	pt	walk
0	0.2925	0.15	0.4375	0.12
1	0.315	0.205	0.46	0.165
2	0.3325	0.225	0.49	0.2175
3	0.3925	0.28	0.515	0.2925
4	0.4025	0.325	0.545	0.3575
5	0.435	0.36	0.555	0.3825
6	0.495	0.3725	0.58	0.4275
7	0.55	0.3825	0.6175	0.48
8	0.605	0.3825	0.6225	0.5075
9	0.645	0.4575	0.6425	0.53
10	0.645	0.47	0.6725	0.555
11	0.675	0.5175	0.6825	0.555
12	0.6925	0.5475	0.715	0.57
13	0.7225	0.5725	0.715	0.6075
14	0.7325	0.5875	0.7325	0.6275
15	0.75	0.605	0.7375	0.6375
16	0.75	0.625	0.75	0.6525
17	0.785	0.6775	0.76	0.6725
18	0.795	0.705	0.78	0.68
19	0.8125	0.7075	0.7925	0.7025
20	0.84	0.7225	0.8025	0.72
21	0.8725	0.7425	0.8025	0.72
22	0.8725	0.755	0.82	0.7425
